id,shelf,shelf_name,division,book,book_name,section,page,path,formula,tabulated,num_n,num_k,wl_n_min,wl_n_max,wl_k_min,wl_k_max,wl_min,wl_max
0,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Johnson,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Ag/Johnson.yml,0,nk,49,49,0.1879,1.937,0.1879,1.937,0.1879,1.937
1,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Choi,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Ag/Choi.yml,0,nk,84,84,1.231,6.988,1.231,6.988,1.231,6.988
2,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Jiang,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Ag/Jiang.yml,0,nk,1701,1701,0.3,2.0,0.3,2.0,0.3,2.0
3,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Yang,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Ag/Yang.yml,0,nk,519,519,0.27,24.92,0.27,24.92,0.27,24.92
4,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",McPeak,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Ag/McPeak.yml,0,nk,141,141,0.3,1.7,0.3,1.7,0.3,1.7
5,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Babar,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Ag/Babar.yml,0,nk,69,69,0.2066,12.4,0.2066,12.4,0.2066,12.4
6,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Wu,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Ag/Wu.yml,0,nk,450,450,0.287493,0.999308,0.287493,0.999308,0.287493,0.999308
7,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Werner,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Ag/Werner.yml,0,nk,150,150,0.017586,2.479684,0.017586,2.479684,0.017586,2.479684
8,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Stahrenberg,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Ag/Stahrenberg.yml,0,nk,361,361,0.12782,0.49594,0.12782,0.49594,0.12782,0.49594
9,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Windt,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Ag/Windt.yml,0,nk,36,36,0.00236,0.12157,0.00236,0.12157,0.00236,0.12157
10,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Hagemann,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Ag/Hagemann.yml,0,nk,148,148,2.48e-06,248.0,2.48e-06,248.0,2.48e-06,248.0
11,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),Experimental data: thin film,Ciesielski,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Ag/Ciesielski.yml,0,nk,333,333,0.19077,20.912,0.19077,20.912,0.19077,20.912
12,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),Experimental data: thin film,Ciesielski-Ge,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Ag/Ciesielski-Ge.yml,0,nk,333,333,0.19077,20.912,0.19077,20.912,0.19077,20.912
13,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),Experimental data: thin film,Ciesielski-Ni,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Ag/Ciesielski-Ni.yml,0,nk,332,332,0.19077,15.811,0.19077,15.811,0.19077,15.811
14,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),Models and simulations,Rakic-BB,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Ag/Rakic-BB.yml,0,nk,200,200,0.24797,12.398,0.24797,12.398,0.24797,12.398
15,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),Models and simulations,Rakic-LD,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Ag/Rakic-LD.yml,0,nk,200,200,0.24797,12.398,0.24797,12.398,0.24797,12.398
16,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),Models and simulations,Werner-DFT,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Ag/Werner-DFT.yml,0,nk,150,150,0.017586,2.479684,0.017586,2.479684,0.017586,2.479684
17,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Experimental data,Rakic,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Al/Rakic.yml,0,nk,206,206,0.00012399,200.0,0.00012399,200.0,0.00012399,200.0
18,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Experimental data,Cheng,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Al/Cheng.yml,0,nk,427,427,0.22543,0.99987,0.22543,0.99987,0.22543,0.99987
19,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Experimental data,McPeak,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Al/McPeak.yml,0,nk,297,297,0.15,1.7,0.15,1.7,0.15,1.7
20,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Experimental data,Larruquert,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Al/Larruquert.yml,0,nk,13,13,0.077,0.1135,0.077,0.1135,0.077,0.1135
21,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Experimental data,Ordal,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Al/Ordal.yml,0,nk,51,51,0.667,200.0,0.667,200.0,0.667,200.0
22,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Experimental data,Hagemann,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Al/Hagemann.yml,0,nk,148,148,1.033e-05,1240.0,1.033e-05,1240.0,1.033e-05,1240.0
23,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Experimental data,Mathewson,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Al/Mathewson.yml,0,nk,37,37,0.49594,1.7712,0.49594,1.7712,0.49594,1.7712
24,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Models and simulations,Rakic-BB,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Al/Rakic-BB.yml,0,nk,200,200,0.061992,247.97,0.061992,247.97,0.061992,247.97
25,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Models and simulations,Rakic-LD,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Al/Rakic-LD.yml,0,nk,1000,1000,0.061992,247.97,0.061992,247.97,0.061992,247.97
26,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Lu3Al5O12,"Lu<sub>3</sub>Al<sub>5</sub>O<sub>12</sub> (Lutetium aluminium garnet, LuAG)",,Hrabovsky,/home/per/prog/lumiary/inde/db/refractiveindex.info-database/database/data/main/Lu3Al5O12/Hrabovsky.yml,4,f,0,0,0.193,1.69,0.193,1.69,0.193,1.69
